word,frequency,vowel_count,rare_letter_count,has_duplicates,difficulty
rossa,1.82e-07,2,0,True,Hard
jetty,1.1e-06,1,1,True,Hard
wizzo,0.0,2,2,True,Hard
cuppa,5.01e-07,2,0,True,Hard
cohoe,0.0,3,0,True,Hard
gurks,0.0,1,1,False,Hard
squad,4.68e-05,2,1,False,Medium
beisa,0.0,3,0,False,Hard
shrug,2e-06,1,0,False,Hard
fossa,3.72e-07,2,0,True,Hard
fluyt,0.0,1,0,False,Hard
camus,7.59e-07,2,0,False,Hard
speed,0.0001,2,0,True,Medium
mamil,0.0,2,0,True,Hard
array,1.26e-05,2,0,True,Medium
polio,1.86e-06,3,0,True,Hard
barns,1.38e-06,1,0,False,Hard
panes,7.76e-07,2,0,False,Hard
souts,0.0,2,0,True,Hard
limas,2.75e-08,2,0,False,Hard
fetch,4.47e-06,1,0,False,Hard
queck,0.0,2,2,False,Hard
twink,8.51e-07,1,1,False,Hard
graze,1.05e-06,2,1,False,Hard
crock,1.07e-06,1,1,True,Hard
almud,0.0,2,0,False,Hard
oohed,1.12e-08,3,0,True,Hard
colog,0.0,2,0,True,Hard
wisht,0.0,1,0,False,Hard
beard,1.17e-05,2,0,False,Medium
samel,1.55e-08,2,0,False,Hard
ahind,0.0,2,0,False,Hard
brung,1.2e-07,1,0,False,Hard
barca,2.57e-06,2,0,True,Hard
mahal,1.58e-06,2,0,True,Hard
jambe,2.51e-08,2,1,False,Hard
plush,2.14e-06,1,0,False,Hard
bruja,6.61e-08,2,1,False,Hard
howre,0.0,2,0,False,Hard
middy,4.27e-08,1,0,True,Hard
kabab,5.62e-08,2,1,True,Hard
zeals,0.0,2,1,False,Hard
mazel,1.66e-07,2,1,False,Hard
sputa,0.0,2,0,False,Hard
goory,0.0,2,0,True,Hard
pails,1.41e-07,2,0,False,Hard
scogs,0.0,1,0,True,Hard
snool,0.0,2,0,True,Hard
poboy,0.0,2,0,True,Hard
doest,1.2e-07,2,0,False,Hard
orixa,0.0,3,1,False,Hard
quipo,0.0,3,1,False,Hard
burbs,2.57e-07,1,0,True,Hard
goads,8.13e-08,2,0,False,Hard
blaud,0.0,2,0,False,Hard
flocs,1.82e-08,1,0,False,Hard
harim,3.16e-08,2,0,False,Hard
mamey,1.58e-08,2,0,True,Hard
primp,3.55e-08,1,0,True,Hard
lathy,0.0,1,0,False,Hard
lunes,4.79e-08,2,0,False,Hard
staps,0.0,1,0,True,Hard
salad,1.41e-05,2,0,True,Medium
agony,3.98e-06,2,0,False,Hard
gusli,0.0,2,0,False,Hard
damps,5.13e-08,1,0,False,Hard
tocks,3.47e-08,1,1,False,Hard
hoick,1.41e-08,2,1,False,Hard
marry,2.51e-05,1,0,True,Medium
amply,4.07e-07,1,0,False,Hard
glisk,0.0,1,1,False,Hard
pulis,3.02e-07,2,0,False,Hard
apter,6.17e-08,2,0,False,Hard
shell,2.45e-05,1,0,True,Medium
capas,2.51e-08,2,0,True,Hard
saunf,0.0,2,0,False,Hard
kutis,0.0,2,1,False,Hard
teggs,0.0,1,0,True,Hard
halsh,0.0,1,0,True,Hard
gamma,5.01e-06,2,0,True,Hard
tardy,4.9e-07,1,0,False,Hard
tease,3.89e-06,3,0,True,Hard
towts,0.0,1,0,True,Hard
abuts,1.86e-07,2,0,False,Hard
allee,1.23e-07,3,0,True,Hard
chins,4.9e-07,1,0,False,Hard
rolly,1.86e-07,1,0,True,Hard
situs,1e-07,2,0,True,Hard
bards,5.01e-07,1,0,False,Hard
phyma,0.0,1,0,False,Hard
torrs,0.0,1,0,True,Hard
chace,2.04e-07,2,0,True,Hard
bikky,0.0,1,2,True,Hard
stoor,0.0,2,0,True,Hard
quink,1.02e-08,2,2,False,Hard
wedgy,1.41e-08,1,0,False,Hard
vises,3.39e-08,2,0,True,Hard
swore,3.39e-06,2,0,False,Hard
upsee,1.41e-08,3,0,True,Hard
gyves,0.0,1,0,False,Hard
heapy,0.0,2,0,False,Hard
gilas,6.17e-08,2,0,False,Hard
gairs,0.0,2,0,False,Hard
yonic,0.0,2,0,False,Hard
wagon,7.94e-06,2,0,False,Hard
rance,4.27e-07,2,0,False,Hard
swail,2.09e-08,2,0,False,Hard
laxed,1.51e-08,2,1,False,Hard
panne,5.37e-08,2,0,True,Hard
tabus,1.45e-08,2,0,False,Hard
anomy,0.0,2,0,False,Hard
swarm,2.75e-06,1,0,False,Hard
sword,2.34e-05,1,0,False,Medium
pharm,2.69e-07,1,0,False,Hard
penes,1.95e-08,2,0,True,Hard
snoek,2.69e-08,2,1,False,Hard
razet,0.0,2,1,False,Hard
nahal,8.13e-08,2,0,True,Hard
kapus,0.0,2,1,False,Hard
lokey,3.98e-08,2,1,False,Hard
gobos,1.74e-08,2,0,True,Hard
jails,1.58e-06,2,1,False,Hard
afars,1.1e-08,2,0,True,Hard
nerka,1.32e-08,2,1,False,Hard
cundy,5.37e-08,1,0,False,Hard
snark,4.47e-07,1,1,False,Hard
intra,2.09e-06,2,0,False,Hard
bundh,0.0,1,0,False,Hard
tanga,1.86e-07,2,0,True,Hard
baaed,0.0,3,0,True,Hard
solus,2e-07,2,0,True,Hard
senor,4.07e-07,2,0,False,Hard
umami,2.4e-07,3,0,True,Hard
wared,0.0,2,0,False,Hard
sharp,3.02e-05,1,0,False,Medium
pewed,0.0,2,0,True,Hard
tuktu,0.0,2,1,True,Hard
knowd,0.0,1,1,False,Hard
dawds,0.0,1,0,True,Hard
flurr,0.0,1,0,True,Hard
inert,1.23e-06,2,0,False,Hard
taxus,5.01e-08,2,1,False,Hard
ruana,1.23e-08,3,0,True,Hard
sulci,5.75e-08,2,0,False,Hard
jaded,9.33e-07,2,1,True,Hard
othyl,0.0,1,0,False,Hard
redig,0.0,2,0,False,Hard
manky,7.76e-08,1,1,False,Hard
ovism,0.0,2,0,False,Hard
matlo,0.0,2,0,False,Hard
cease,1.07e-05,3,0,True,Medium
perae,0.0,3,0,True,Hard
sixes,8.13e-07,2,1,True,Hard
pubco,0.0,2,0,False,Hard
yappy,7.24e-08,1,0,True,Hard
famed,3.98e-06,2,0,False,Hard
hexed,7.41e-08,2,1,True,Hard
bawrs,0.0,1,0,False,Hard
decry,3.98e-07,1,0,False,Hard
iddah,1.26e-08,2,0,True,Hard
dixit,3.39e-07,2,1,True,Hard
cased,3.8e-07,2,0,False,Hard
rupia,0.0,3,0,False,Hard
toidy,0.0,2,0,False,Hard
hodad,0.0,2,0,True,Hard
yukes,0.0,2,1,False,Hard
gaffe,4.57e-07,2,0,True,Hard
annoy,2.88e-06,2,0,True,Hard
leugh,0.0,2,0,False,Hard
howay,3.8e-08,2,0,False,Hard
pixel,5.25e-06,2,1,False,Hard
linga,1.35e-07,2,0,False,Hard
bayou,1.38e-06,3,0,False,Hard
lurgy,2e-08,1,0,False,Hard
lears,2.75e-08,2,0,False,Hard
scrat,4.57e-08,1,0,False,Hard
prize,3.89e-05,2,1,False,Medium
homes,4.9e-05,2,0,False,Medium
scroo,0.0,2,0,True,Hard
egest,0.0,2,0,True,Hard
mopus,0.0,2,0,False,Hard
verbs,2.75e-06,1,0,False,Hard
maple,7.24e-06,2,0,False,Hard
barfs,3.8e-08,1,0,False,Hard
judge,8.91e-05,2,1,False,Medium
salle,1.48e-06,2,0,True,Hard
shine,1.48e-05,2,0,False,Medium
zineb,2.19e-08,2,1,False,Hard
flexo,5.62e-08,2,1,False,Hard
gismo,1.95e-08,2,0,False,Hard
rears,3.98e-07,2,0,True,Hard
khads,0.0,1,1,False,Hard
begum,3.63e-07,2,0,False,Hard
glade,6.03e-07,2,0,False,Hard
imams,6.46e-07,2,0,True,Hard
strad,5.75e-08,1,0,False,Hard
venae,0.0,3,0,True,Hard
skene,1.17e-07,2,1,True,Hard
moten,4.9e-08,2,0,False,Hard
rugby,2.51e-05,1,0,False,Medium
goels,0.0,2,0,False,Hard
khazi,0.0,2,2,False,Hard
belit,0.0,2,0,False,Hard
smolt,3.31e-08,1,0,False,Hard
morin,4.47e-07,2,0,False,Hard
ofays,0.0,2,0,False,Hard
sural,2.45e-08,2,0,False,Hard
janny,5.37e-08,1,1,True,Hard
short,0.000214,1,0,False,Easy
